Antibiotic_Class,Year,Location,Age_Group,Sex,Rate
Penicillins,2013,SD,Combined Ages,Combined Gender,181.500869297821
Penicillins,2013,TN,Combined Ages,Combined Gender,228.773181470564
Penicillins,2013,TX,Combined Ages,Combined Gender,205.328814395207
Penicillins,2013,UT,Combined Ages,Combined Gender,217.298261980646
Penicillins,2013,VA,Combined Ages,Combined Gender,187.052252354666
Penicillins,2013,VT,Combined Ages,Combined Gender,159.819575499916
Penicillins,2013,WA,Combined Ages,Combined Gender,131.114981024541
Penicillins,2013,WI,Combined Ages,Combined Gender,175.704023696528
Penicillins,2013,WV,Combined Ages,Combined Gender,260.346904259024
Penicillins,2013,WY,Combined Ages,Combined Gender,173.588558750255
Penicillins,2014,AK,Combined Ages,Combined Gender,103.957639955914
Penicillins,2014,AL,Combined Ages,Combined Gender,215.655870846916
Penicillins,2014,AR,Combined Ages,Combined Gender,251.800794169573
Penicillins,2014,AZ,Combined Ages,Combined Gender,159.455323670088
Penicillins,2014,CA,Combined Ages,Combined Gender,143.109256620047
Penicillins,2014,CO,Combined Ages,Combined Gender,156.832846452852
Penicillins,2014,CT,Combined Ages,Combined Gender,187.447001774141
Penicillins,2014,DC,Combined Ages,Combined Gender,216.539514003032
Penicillins,2014,DE,Combined Ages,Combined Gender,217.898738154837
Penicillins,2014,FL,Combined Ages,Combined Gender,144.977565056202
Penicillins,2014,GA,Combined Ages,Combined Gender,190.253467669668
Penicillins,2014,HI,Combined Ages,Combined Gender,143.783162541095
Penicillins,2014,IA,Combined Ages,Combined Gender,214.211692734703
Penicillins,2014,ID,Combined Ages,Combined Gender,158.842482917947
Penicillins,2014,IL,Combined Ages,Combined Gender,208.946135189556
Penicillins,2014,IN,Combined Ages,Combined Gender,215.024462414309
Penicillins,2014,KS,Combined Ages,Combined Gender,207.55575458993
Penicillins,2014,KY,Combined Ages,Combined Gender,281.83456868393
Penicillins,2014,LA,Combined Ages,Combined Gender,245.132501705498
Penicillins,2014,MA,Combined Ages,Combined Gender,191.672313965301
Penicillins,2014,MD,Combined Ages,Combined Gender,192.784840456826
Penicillins,2014,ME,Combined Ages,Combined Gender,161.151434227333
Penicillins,2014,MI,Combined Ages,Combined Gender,230.143168275451
Penicillins,2014,MN,Combined Ages,Combined Gender,176.684200775755
Penicillins,2014,MO,Combined Ages,Combined Gender,215.569209918417
Penicillins,2014,MS,Combined Ages,Combined Gender,232.885959254921
Penicillins,2014,MT,Combined Ages,Combined Gender,141.382414058905
Penicillins,2014,National,Combined Ages,Combined Gender,190.506411844928
Penicillins,2014,National,Combined Ages,F,208.559940151912
Penicillins,2014,National,Combined Ages,M,170.437487873637
Penicillins,2014,National,0-19,Combined Gender,292.835716112448
Penicillins,2014,National,0-19,F,Insufficient Data
Penicillins,2014,National,0-19,M,Insufficient Data
Penicillins,2014,National,20+,Combined Gender,151.415937272843
Penicillins,2014,National,20+,F,Insufficient Data
Penicillins,2014,National,20+,M,Insufficient Data
Penicillins,2014,NC,Combined Ages,Combined Gender,186.566103819367
Penicillins,2014,ND,Combined Ages,Combined Gender,176.729602613722
Penicillins,2014,NE,Combined Ages,Combined Gender,227.334838158644
Penicillins,2014,NH,Combined Ages,Combined Gender,170.183077796192
Penicillins,2014,NJ,Combined Ages,Combined Gender,211.519607749911
Penicillins,2014,NM,Combined Ages,Combined Gender,166.859058330283
Penicillins,2014,NV,Combined Ages,Combined Gender,164.75930920338
Penicillins,2014,NY,Combined Ages,Combined Gender,209.228478432853
Penicillins,2014,OH,Combined Ages,Combined Gender,223.322902222406
Penicillins,2014,OK,Combined Ages,Combined Gender,208.125151010136
Penicillins,2014,OR,Combined Ages,Combined Gender,130.515704470187
Penicillins,2014,PA,Combined Ages,Combined Gender,213.801917994749
Penicillins,2014,RI,Combined Ages,Combined Gender,203.167272096613
Penicillins,2014,SC,Combined Ages,Combined Gender,196.583960374815
Penicillins,2014,SD,Combined Ages,Combined Gender,191.286559029507
Penicillins,2014,TN,Combined Ages,Combined Gender,226.631185802821
Penicillins,2014,TX,Combined Ages,Combined Gender,208.475487849915
Penicillins,2014,UT,Combined Ages,Combined Gender,207.695213771989
Penicillins,2014,VA,Combined Ages,Combined Gender,181.610059415443
Penicillins,2014,VT,Combined Ages,Combined Gender,153.382570280355
Penicillins,2014,WA,Combined Ages,Combined Gender,130.53851927274
Penicillins,2014,WI,Combined Ages,Combined Gender,177.409501657303
Penicillins,2014,WV,Combined Ages,Combined Gender,261.479533876738
Penicillins,2014,WY,Combined Ages,Combined Gender,170.891889624807
Tetracycline,2011,National,Combined Ages,Combined Gender,67.8731811271773
Tetracycline,2011,National,Combined Ages,F,77.2623429831035
Tetracycline,2011,National,Combined Ages,M,56.9688134225846
Tetracycline,2011,National,0-19,Combined Gender,51.2816096305286
Tetracycline,2011,National,0-19,F,Insufficient Data
Tetracycline,2011,National,0-19,M,Insufficient Data
Tetracycline,2011,National,20+,Combined Gender,71.5715993550606
Tetracycline,2011,National,20+,F,Insufficient Data
Tetracycline,2011,National,20+,M,Insufficient Data
Tetracycline,2012,National,Combined Ages,Combined Gender,69.4304619193751
Tetracycline,2012,National,Combined Ages,F,79.3497600519348
Tetracycline,2012,National,Combined Ages,M,58.6201835307056
Tetracycline,2012,National,0-19,Combined Gender,49.366963176226
Tetracycline,2012,National,0-19,F,Insufficient Data
Tetracycline,2012,National,0-19,M,Insufficient Data
Tetracycline,2012,National,20+,Combined Gender,74.7588116274042
Tetracycline,2012,National,20+,F,Insufficient Data
Tetracycline,2012,National,20+,M,Insufficient Data
Tetracycline,2013,National,Combined Ages,Combined Gender,65.0513244287963
Tetracycline,2013,National,Combined Ages,F,74.74763483871
Tetracycline,2013,National,Combined Ages,M,54.5245633773928
Tetracycline,2013,National,0-19,Combined Gender,47.3268984408462
Tetracycline,2013,National,0-19,F,Insufficient Data
Tetracycline,2013,National,0-19,M,Insufficient Data
Tetracycline,2013,National,20+,Combined Gender,69.6230576249404
Tetracycline,2013,National,20+,F,Insufficient Data
Tetracycline,2013,National,20+,M,Insufficient Data
Tetracycline,2014,National,Combined Ages,Combined Gender,64.0610078579917
Tetracycline,2014,National,Combined Ages,F,73.7120930571512
Tetracycline,2014,National,Combined Ages,M,53.6113992407466
Tetracycline,2014,National,0-19,Combined Gender,45.9861394818825
Tetracycline,2014,National,0-19,F,Insufficient Data
Tetracycline,2014,National,0-19,M,Insufficient Data
Tetracycline,2014,National,20+,Combined Gender,68.8028233384868
Tetracycline,2014,National,20+,F,Insufficient Data
Tetracycline,2014,National,20+,M,Insufficient Data
All other,2011,AK,Combined Ages,Combined Gender,Insufficient Data
All other,2011,AL,Combined Ages,Combined Gender,Insufficient Data
All other,2011,AR,Combined Ages,Combined Gender,Insufficient Data
All other,2011,AZ,Combined Ages,Combined Gender,Insufficient Data
All other,2011,CA,Combined Ages,Combined Gender,Insufficient Data
All other,2011,CO,Combined Ages,Combined Gender,Insufficient Data
All other,2011,CT,Combined Ages,Combined Gender,Insufficient Data
All other,2011,DC,Combined Ages,Combined Gender,Insufficient Data
All other,2011,DE,Combined Ages,Combined Gender,Insufficient Data
All other,2011,FL,Combined Ages,Combined Gender,Insufficient Data
All other,2011,GA,Combined Ages,Combined Gender,Insufficient Data
All other,2011,HI,Combined Ages,Combined Gender,Insufficient Data
All other,2011,IA,Combined Ages,Combined Gender,Insufficient Data
All other,2011,ID,Combined Ages,Combined Gender,Insufficient Data
All other,2011,IL,Combined Ages,Combined Gender,Insufficient Data
All other,2011,IN,Combined Ages,Combined Gender,Insufficient Data
All other,2011,KS,Combined Ages,Combined Gender,Insufficient Data
All other,2011,KY,Combined Ages,Combined Gender,Insufficient Data
All other,2011,LA,Combined Ages,Combined Gender,Insufficient Data
All other,2011,MA,Combined Ages,Combined Gender,Insufficient Data
All other,2011,MD,Combined Ages,Combined Gender,Insufficient Data
All other,2011,ME,Combined Ages,Combined Gender,Insufficient Data
All other,2011,MI,Combined Ages,Combined Gender,Insufficient Data
All other,2011,MN,Combined Ages,Combined Gender,Insufficient Data
All other,2011,MO,Combined Ages,Combined Gender,Insufficient Data
All other,2011,MS,Combined Ages,Combined Gender,Insufficient Data
All other,2011,MT,Combined Ages,Combined Gender,Insufficient Data
All other,2011,NC,Combined Ages,Combined Gender,Insufficient Data
All other,2011,ND,Combined Ages,Combined Gender,Insufficient Data
All other,2011,NE,Combined Ages,Combined Gender,Insufficient Data
All other,2011,NH,Combined Ages,Combined Gender,Insufficient Data
All other,2011,NJ,Combined Ages,Combined Gender,Insufficient Data
All other,2011,NM,Combined Ages,Combined Gender,Insufficient Data
All other,2011,NV,Combined Ages,Combined Gender,Insufficient Data
All other,2011,NY,Combined Ages,Combined Gender,Insufficient Data
All other,2011,OH,Combined Ages,Combined Gender,Insufficient Data
All other,2011,OK,Combined Ages,Combined Gender,Insufficient Data
All other,2011,OR,Combined Ages,Combined Gender,Insufficient Data
All other,2011,PA,Combined Ages,Combined Gender,Insufficient Data
All other,2011,RI,Combined Ages,Combined Gender,Insufficient Data
All other,2011,SC,Combined Ages,Combined Gender,Insufficient Data
All other,2011,SD,Combined Ages,Combined Gender,Insufficient Data
All other,2011,TN,Combined Ages,Combined Gender,Insufficient Data
All other,2011,TX,Combined Ages,Combined Gender,Insufficient Data
All other,2011,UT,Combined Ages,Combined Gender,Insufficient Data
All other,2011,VA,Combined Ages,Combined Gender,Insufficient Data
All other,2011,VT,Combined Ages,Combined Gender,Insufficient Data
All other,2011,WA,Combined Ages,Combined Gender,Insufficient Data
All other,2011,WI,Combined Ages,Combined Gender,Insufficient Data
All other,2011,WV,Combined Ages,Combined Gender,Insufficient Data
All other,2011,WY,Combined Ages,Combined Gender,Insufficient Data
All other,2012,AK,Combined Ages,Combined Gender,Insufficient Data
All other,2012,AL,Combined Ages,Combined Gender,Insufficient Data
All other,2012,AR,Combined Ages,Combined Gender,Insufficient Data
All other,2012,AZ,Combined Ages,Combined Gender,Insufficient Data
All other,2012,CA,Combined Ages,Combined Gender,Insufficient Data
