"TIME","GEO","UNIT","INDIC_IL","CITIZEN","SEX","AGE","Value"
"2016","European Union - 27 countries (2007-2013)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","17,049"
"2017","European Union - 27 countries (2007-2013)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","17,059"
"2018","European Union - 27 countries (2007-2013)","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":"
"2009","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","17,656"
"2010","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","17,945"
"2011","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","17,837"
"2012","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","18,085"
"2013","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","18,067"
"2014","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","18,071"
"2015","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","18,292"
"2016","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","18,814"
"2017","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","19,317"
"2018","Euro area (EA11-2000, EA12-2006, EA13-2007, EA15-2008, EA16-2010, EA17-2013, EA18-2014, EA19)","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":"
"2009","Euro area (19 countries)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","17,416"
"2010","Euro area (19 countries)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","17,688"
"2011","Euro area (19 countries)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","17,629"
"2012","Euro area (19 countries)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","17,880"
"2013","Euro area (19 countries)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","17,867"
"2014","Euro area (19 countries)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","17,946"
"2015","Euro area (19 countries)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","18,292"
"2016","Euro area (19 countries)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","18,814"
"2017","Euro area (19 countries)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","19,317"
"2018","Euro area (19 countries)","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":"
"2009","Euro area (18 countries)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","17,546"
"2010","Euro area (18 countries)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","17,827"
"2011","Euro area (18 countries)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","17,763"
"2012","Euro area (18 countries)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","18,010"
"2013","Euro area (18 countries)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","17,994"
"2014","Euro area (18 countries)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","18,071"
"2015","Euro area (18 countries)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","18,415"
"2016","Euro area (18 countries)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","18,936"
"2017","Euro area (18 countries)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","19,438"
"2018","Euro area (18 countries)","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":"
"2009","Belgium","Euro","Median equivalised net income","Reporting country","Total","18 years or over","19,940"
"2010","Belgium","Euro","Median equivalised net income","Reporting country","Total","18 years or over","20,008"
"2011","Belgium","Euro","Median equivalised net income","Reporting country","Total","18 years or over","20,468"
"2012","Belgium","Euro","Median equivalised net income","Reporting country","Total","18 years or over","20,773"
"2013","Belgium","Euro","Median equivalised net income","Reporting country","Total","18 years or over","22,113"
"2014","Belgium","Euro","Median equivalised net income","Reporting country","Total","18 years or over","22,370"
"2015","Belgium","Euro","Median equivalised net income","Reporting country","Total","18 years or over","22,387"
"2016","Belgium","Euro","Median equivalised net income","Reporting country","Total","18 years or over","22,739"
"2017","Belgium","Euro","Median equivalised net income","Reporting country","Total","18 years or over","23,334"
"2018","Belgium","Euro","Median equivalised net income","Reporting country","Total","18 years or over","24,405"
"2009","Bulgaria","Euro","Median equivalised net income","Reporting country","Total","18 years or over","2,844"
"2010","Bulgaria","Euro","Median equivalised net income","Reporting country","Total","18 years or over","3,070"
"2011","Bulgaria","Euro","Median equivalised net income","Reporting country","Total","18 years or over","2,956"
"2012","Bulgaria","Euro","Median equivalised net income","Reporting country","Total","18 years or over","2,894"
"2013","Bulgaria","Euro","Median equivalised net income","Reporting country","Total","18 years or over","2,972"
"2014","Bulgaria","Euro","Median equivalised net income","Reporting country","Total","18 years or over","3,403"
"2015","Bulgaria","Euro","Median equivalised net income","Reporting country","Total","18 years or over","3,367"
"2016","Bulgaria","Euro","Median equivalised net income","Reporting country","Total","18 years or over","3,216"
"2017","Bulgaria","Euro","Median equivalised net income","Reporting country","Total","18 years or over","3,645"
"2018","Bulgaria","Euro","Median equivalised net income","Reporting country","Total","18 years or over","3,649"
"2009","Czechia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","7,410"
"2010","Czechia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","7,161"
"2011","Czechia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","7,567"
"2012","Czechia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","7,889"
"2013","Czechia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","7,753"
"2014","Czechia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","7,680"
"2015","Czechia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","7,470"
"2016","Czechia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","7,902"
"2017","Czechia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","8,297"
"2018","Czechia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","9,071"
"2009","Denmark","Euro","Median equivalised net income","Reporting country","Total","18 years or over","25,070"
"2010","Denmark","Euro","Median equivalised net income","Reporting country","Total","18 years or over","25,803"
"2011","Denmark","Euro","Median equivalised net income","Reporting country","Total","18 years or over","27,149"
"2012","Denmark","Euro","Median equivalised net income","Reporting country","Total","18 years or over","27,332"
"2013","Denmark","Euro","Median equivalised net income","Reporting country","Total","18 years or over","27,444"
"2014","Denmark","Euro","Median equivalised net income","Reporting country","Total","18 years or over","28,061"
"2015","Denmark","Euro","Median equivalised net income","Reporting country","Total","18 years or over","28,473"
"2016","Denmark","Euro","Median equivalised net income","Reporting country","Total","18 years or over","28,481"
"2017","Denmark","Euro","Median equivalised net income","Reporting country","Total","18 years or over","29,306"
"2018","Denmark","Euro","Median equivalised net income","Reporting country","Total","18 years or over","30,323"
"2009","Germany (until 1990 former territory of the FRG)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","18,880"
"2010","Germany (until 1990 former territory of the FRG)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","19,137"
"2011","Germany (until 1990 former territory of the FRG)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","19,392"
"2012","Germany (until 1990 former territory of the FRG)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","19,859"
"2013","Germany (until 1990 former territory of the FRG)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","19,797"
"2014","Germany (until 1990 former territory of the FRG)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","19,984"
"2015","Germany (until 1990 former territory of the FRG)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","20,927"
"2016","Germany (until 1990 former territory of the FRG)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","21,573"
"2017","Germany (until 1990 former territory of the FRG)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","22,244"
"2018","Germany (until 1990 former territory of the FRG)","Euro","Median equivalised net income","Reporting country","Total","18 years or over","22,964"
"2009","Estonia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","6,437"
"2010","Estonia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","5,945"
"2011","Estonia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","5,716"
"2012","Estonia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","6,187"
"2013","Estonia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","6,813"
"2014","Estonia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","7,436"
"2015","Estonia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","8,218"
"2016","Estonia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","8,963"
"2017","Estonia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","9,845"
"2018","Estonia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","10,742"
"2009","Ireland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","23,147"
"2010","Ireland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","21,435"
"2011","Ireland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","20,387"
"2012","Ireland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","20,324"
"2013","Ireland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","20,706"
"2014","Ireland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","20,966"
"2015","Ireland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","22,864"
"2016","Ireland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","23,586"
"2017","Ireland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","23,659"
"2018","Ireland","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":"
"2009","Greece","Euro","Median equivalised net income","Reporting country","Total","18 years or over","11,856"
"2010","Greece","Euro","Median equivalised net income","Reporting country","Total","18 years or over","12,453"
"2011","Greece","Euro","Median equivalised net income","Reporting country","Total","18 years or over","11,167"
"2012","Greece","Euro","Median equivalised net income","Reporting country","Total","18 years or over","9,742"
"2013","Greece","Euro","Median equivalised net income","Reporting country","Total","18 years or over","8,731"
"2014","Greece","Euro","Median equivalised net income","Reporting country","Total","18 years or over","7,993"
"2015","Greece","Euro","Median equivalised net income","Reporting country","Total","18 years or over","7,860"
"2016","Greece","Euro","Median equivalised net income","Reporting country","Total","18 years or over","7,850"
"2017","Greece","Euro","Median equivalised net income","Reporting country","Total","18 years or over","7,933"
"2018","Greece","Euro","Median equivalised net income","Reporting country","Total","18 years or over","8,207"
"2009","Spain","Euro","Median equivalised net income","Reporting country","Total","18 years or over","15,785"
"2010","Spain","Euro","Median equivalised net income","Reporting country","Total","18 years or over","15,635"
"2011","Spain","Euro","Median equivalised net income","Reporting country","Total","18 years or over","14,963"
"2012","Spain","Euro","Median equivalised net income","Reporting country","Total","18 years or over","14,844"
"2013","Spain","Euro","Median equivalised net income","Reporting country","Total","18 years or over","14,572"
"2014","Spain","Euro","Median equivalised net income","Reporting country","Total","18 years or over","14,143"
"2015","Spain","Euro","Median equivalised net income","Reporting country","Total","18 years or over","14,068"
"2016","Spain","Euro","Median equivalised net income","Reporting country","Total","18 years or over","14,380"
"2017","Spain","Euro","Median equivalised net income","Reporting country","Total","18 years or over","14,999"
"2018","Spain","Euro","Median equivalised net income","Reporting country","Total","18 years or over","15,459"
"2009","France","Euro","Median equivalised net income","Reporting country","Total","18 years or over","20,381"
"2010","France","Euro","Median equivalised net income","Reporting country","Total","18 years or over","20,738"
"2011","France","Euro","Median equivalised net income","Reporting country","Total","18 years or over","20,812"
"2012","France","Euro","Median equivalised net income","Reporting country","Total","18 years or over","21,373"
"2013","France","Euro","Median equivalised net income","Reporting country","Total","18 years or over","21,659"
"2014","France","Euro","Median equivalised net income","Reporting country","Total","18 years or over","21,944"
"2015","France","Euro","Median equivalised net income","Reporting country","Total","18 years or over","22,071"
"2016","France","Euro","Median equivalised net income","Reporting country","Total","18 years or over","22,413"
"2017","France","Euro","Median equivalised net income","Reporting country","Total","18 years or over","22,897"
"2018","France","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":"
"2009","Croatia","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":"
"2010","Croatia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","5,907"
"2011","Croatia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","5,628"
"2012","Croatia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","5,485"
"2013","Croatia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","5,190"
"2014","Croatia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","5,332"
"2015","Croatia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","5,529"
"2016","Croatia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","5,792"
"2017","Croatia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","6,279"
"2018","Croatia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","6,748"
"2009","Italy","Euro","Median equivalised net income","Reporting country","Total","18 years or over","16,298"
"2010","Italy","Euro","Median equivalised net income","Reporting country","Total","18 years or over","16,867"
"2011","Italy","Euro","Median equivalised net income","Reporting country","Total","18 years or over","16,699"
"2012","Italy","Euro","Median equivalised net income","Reporting country","Total","18 years or over","16,841"
"2013","Italy","Euro","Median equivalised net income","Reporting country","Total","18 years or over","16,604"
"2014","Italy","Euro","Median equivalised net income","Reporting country","Total","18 years or over","16,619"
"2015","Italy","Euro","Median equivalised net income","Reporting country","Total","18 years or over","16,750"
"2016","Italy","Euro","Median equivalised net income","Reporting country","Total","18 years or over","17,380"
"2017","Italy","Euro","Median equivalised net income","Reporting country","Total","18 years or over","17,567"
"2018","Italy","Euro","Median equivalised net income","Reporting country","Total","18 years or over","17,867"
"2009","Cyprus","Euro","Median equivalised net income","Reporting country","Total","18 years or over","16,960"
"2010","Cyprus","Euro","Median equivalised net income","Reporting country","Total","18 years or over","16,830"
"2011","Cyprus","Euro","Median equivalised net income","Reporting country","Total","18 years or over","17,390"
"2012","Cyprus","Euro","Median equivalised net income","Reporting country","Total","18 years or over","17,627"
"2013","Cyprus","Euro","Median equivalised net income","Reporting country","Total","18 years or over","16,460"
"2014","Cyprus","Euro","Median equivalised net income","Reporting country","Total","18 years or over","15,195"
"2015","Cyprus","Euro","Median equivalised net income","Reporting country","Total","18 years or over","14,450"
"2016","Cyprus","Euro","Median equivalised net income","Reporting country","Total","18 years or over","14,841"
"2017","Cyprus","Euro","Median equivalised net income","Reporting country","Total","18 years or over","15,193"
"2018","Cyprus","Euro","Median equivalised net income","Reporting country","Total","18 years or over","16,094"
"2009","Latvia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","5,505"
"2010","Latvia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","4,656"
"2011","Latvia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","4,324"
"2012","Latvia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","4,579"
"2013","Latvia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","4,793"
"2014","Latvia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","5,344"
"2015","Latvia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","5,915"
"2016","Latvia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","6,494"
"2017","Latvia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","6,751"
"2018","Latvia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","7,481"
"2009","Lithuania","Euro","Median equivalised net income","Reporting country","Total","18 years or over","4,759"
"2010","Lithuania","Euro","Median equivalised net income","Reporting country","Total","18 years or over","4,072"
"2011","Lithuania","Euro","Median equivalised net income","Reporting country","Total","18 years or over","3,878"
"2012","Lithuania","Euro","Median equivalised net income","Reporting country","Total","18 years or over","4,383"
"2013","Lithuania","Euro","Median equivalised net income","Reporting country","Total","18 years or over","4,758"
"2014","Lithuania","Euro","Median equivalised net income","Reporting country","Total","18 years or over","4,893"
"2015","Lithuania","Euro","Median equivalised net income","Reporting country","Total","18 years or over","5,242"
"2016","Lithuania","Euro","Median equivalised net income","Reporting country","Total","18 years or over","5,732"
"2017","Lithuania","Euro","Median equivalised net income","Reporting country","Total","18 years or over","6,225"
"2018","Lithuania","Euro","Median equivalised net income","Reporting country","Total","18 years or over","6,942"
"2009","Luxembourg","Euro","Median equivalised net income","Reporting country","Total","18 years or over","35,316"
"2010","Luxembourg","Euro","Median equivalised net income","Reporting country","Total","18 years or over","36,569"
"2011","Luxembourg","Euro","Median equivalised net income","Reporting country","Total","18 years or over","37,295"
"2012","Luxembourg","Euro","Median equivalised net income","Reporting country","Total","18 years or over","38,047"
"2013","Luxembourg","Euro","Median equivalised net income","Reporting country","Total","18 years or over","38,516"
"2014","Luxembourg","Euro","Median equivalised net income","Reporting country","Total","18 years or over","39,861"
"2015","Luxembourg","Euro","Median equivalised net income","Reporting country","Total","18 years or over","40,483"
"2016","Luxembourg","Euro","Median equivalised net income","Reporting country","Total","18 years or over","39,947"
"2017","Luxembourg","Euro","Median equivalised net income","Reporting country","Total","18 years or over","41,231"
"2018","Luxembourg","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":"
"2009","Hungary","Euro","Median equivalised net income","Reporting country","Total","18 years or over","4,861"
"2010","Hungary","Euro","Median equivalised net income","Reporting country","Total","18 years or over","4,355"
"2011","Hungary","Euro","Median equivalised net income","Reporting country","Total","18 years or over","4,595"
"2012","Hungary","Euro","Median equivalised net income","Reporting country","Total","18 years or over","4,756"
"2013","Hungary","Euro","Median equivalised net income","Reporting country","Total","18 years or over","4,529"
"2014","Hungary","Euro","Median equivalised net income","Reporting country","Total","18 years or over","4,633"
"2015","Hungary","Euro","Median equivalised net income","Reporting country","Total","18 years or over","4,656"
"2016","Hungary","Euro","Median equivalised net income","Reporting country","Total","18 years or over","4,893"
"2017","Hungary","Euro","Median equivalised net income","Reporting country","Total","18 years or over","5,126"
"2018","Hungary","Euro","Median equivalised net income","Reporting country","Total","18 years or over","5,530"
"2009","Malta","Euro","Median equivalised net income","Reporting country","Total","18 years or over","10,908"
"2010","Malta","Euro","Median equivalised net income","Reporting country","Total","18 years or over","10,720"
"2011","Malta","Euro","Median equivalised net income","Reporting country","Total","18 years or over","11,215"
"2012","Malta","Euro","Median equivalised net income","Reporting country","Total","18 years or over","11,802"
"2013","Malta","Euro","Median equivalised net income","Reporting country","Total","18 years or over","12,343"
"2014","Malta","Euro","Median equivalised net income","Reporting country","Total","18 years or over","13,015"
"2015","Malta","Euro","Median equivalised net income","Reporting country","Total","18 years or over","13,867"
"2016","Malta","Euro","Median equivalised net income","Reporting country","Total","18 years or over","13,825"
"2017","Malta","Euro","Median equivalised net income","Reporting country","Total","18 years or over","14,675"
"2018","Malta","Euro","Median equivalised net income","Reporting country","Total","18 years or over","14,970"
"2009","Netherlands","Euro","Median equivalised net income","Reporting country","Total","18 years or over","20,663"
"2010","Netherlands","Euro","Median equivalised net income","Reporting country","Total","18 years or over","20,947"
"2011","Netherlands","Euro","Median equivalised net income","Reporting country","Total","18 years or over","20,923"
"2012","Netherlands","Euro","Median equivalised net income","Reporting country","Total","18 years or over","21,013"
"2013","Netherlands","Euro","Median equivalised net income","Reporting country","Total","18 years or over","21,234"
"2014","Netherlands","Euro","Median equivalised net income","Reporting country","Total","18 years or over","21,215"
"2015","Netherlands","Euro","Median equivalised net income","Reporting country","Total","18 years or over","21,571"
"2016","Netherlands","Euro","Median equivalised net income","Reporting country","Total","18 years or over","23,025"
"2017","Netherlands","Euro","Median equivalised net income","Reporting country","Total","18 years or over","23,729"
"2018","Netherlands","Euro","Median equivalised net income","Reporting country","Total","18 years or over","24,104"
"2009","Austria","Euro","Median equivalised net income","Reporting country","Total","18 years or over","21,595"
"2010","Austria","Euro","Median equivalised net income","Reporting country","Total","18 years or over","22,370"
"2011","Austria","Euro","Median equivalised net income","Reporting country","Total","18 years or over","22,778"
"2012","Austria","Euro","Median equivalised net income","Reporting country","Total","18 years or over","23,427"
"2013","Austria","Euro","Median equivalised net income","Reporting country","Total","18 years or over","23,632"
"2014","Austria","Euro","Median equivalised net income","Reporting country","Total","18 years or over","24,993"
"2015","Austria","Euro","Median equivalised net income","Reporting country","Total","18 years or over","25,099"
"2016","Austria","Euro","Median equivalised net income","Reporting country","Total","18 years or over","25,690"
"2017","Austria","Euro","Median equivalised net income","Reporting country","Total","18 years or over","26,877"
"2018","Austria","Euro","Median equivalised net income","Reporting country","Total","18 years or over","27,222"
"2009","Poland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","5,166"
"2010","Poland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","4,467"
"2011","Poland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","5,096"
"2012","Poland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","5,167"
"2013","Poland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","5,279"
"2014","Poland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","5,430"
"2015","Poland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","5,637"
"2016","Poland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","5,935"
"2017","Poland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","5,951"
"2018","Poland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","6,557"
"2009","Portugal","Euro","Median equivalised net income","Reporting country","Total","18 years or over","8,502"
"2010","Portugal","Euro","Median equivalised net income","Reporting country","Total","18 years or over","8,887"
"2011","Portugal","Euro","Median equivalised net income","Reporting country","Total","18 years or over","8,657"
"2012","Portugal","Euro","Median equivalised net income","Reporting country","Total","18 years or over","8,498"
"2013","Portugal","Euro","Median equivalised net income","Reporting country","Total","18 years or over","8,395"
"2014","Portugal","Euro","Median equivalised net income","Reporting country","Total","18 years or over","8,394"
"2015","Portugal","Euro","Median equivalised net income","Reporting country","Total","18 years or over","8,541"
"2016","Portugal","Euro","Median equivalised net income","Reporting country","Total","18 years or over","8,895"
"2017","Portugal","Euro","Median equivalised net income","Reporting country","Total","18 years or over","9,167"
"2018","Portugal","Euro","Median equivalised net income","Reporting country","Total","18 years or over","9,413"
"2009","Romania","Euro","Median equivalised net income","Reporting country","Total","18 years or over","2,266"
"2010","Romania","Euro","Median equivalised net income","Reporting country","Total","18 years or over","2,114"
"2011","Romania","Euro","Median equivalised net income","Reporting country","Total","18 years or over","2,193"
"2012","Romania","Euro","Median equivalised net income","Reporting country","Total","18 years or over","2,143"
"2013","Romania","Euro","Median equivalised net income","Reporting country","Total","18 years or over","2,117"
"2014","Romania","Euro","Median equivalised net income","Reporting country","Total","18 years or over","2,260"
"2015","Romania","Euro","Median equivalised net income","Reporting country","Total","18 years or over","2,410"
"2016","Romania","Euro","Median equivalised net income","Reporting country","Total","18 years or over","2,533"
"2017","Romania","Euro","Median equivalised net income","Reporting country","Total","18 years or over","2,845"
"2018","Romania","Euro","Median equivalised net income","Reporting country","Total","18 years or over","3,404"
"2009","Slovenia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","12,006"
"2010","Slovenia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","11,859"
"2011","Slovenia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","12,185"
"2012","Slovenia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","12,259"
"2013","Slovenia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","11,978"
"2014","Slovenia","Euro","Median equivalised net income","Reporting country","Total","18 years or over","12,078"
