state	year	pop
North Dakota	2005	635365
North Dakota	2006	636771
North Dakota	2007	638202
North Dakota	2008	641421
North Dakota	2009	646844
North Dakota	2010	674345
North Dakota	2011	685242
North Dakota	2012	701705
Ohio	1999	11256654
Ohio	2000	11363844
Ohio	2001	11396874
Ohio	2002	11420981
Ohio	2003	11445180
Ohio	2004	11464593
Ohio	2005	11475262
Ohio	2006	11492495
Ohio	2007	11520815
Ohio	2008	11528072
Ohio	2009	11542645
Ohio	2010	11540070
Ohio	2011	11544757
Ohio	2012	11550901
Oklahoma	1999	3358044
Oklahoma	2000	3453943
Oklahoma	2001	3464729
Oklahoma	2002	3484754
Oklahoma	2003	3498687
Oklahoma	2004	3514449
Oklahoma	2005	3532769
Oklahoma	2006	3574334
Oklahoma	2007	3612186
Oklahoma	2008	3644025
Oklahoma	2009	3687050
Oklahoma	2010	3759481
Oklahoma	2011	3786527
Oklahoma	2012	3817059
Oregon	1999	3316154
Oregon	2000	3430891
Oregon	2001	3470382
Oregon	2002	3517111
Oregon	2003	3550180
Oregon	2004	3573505
Oregon	2005	3617869
Oregon	2006	3677545
Oregon	2007	3732957
Oregon	2008	3782991
Oregon	2009	3825657
Oregon	2010	3837083
Oregon	2011	3867644
Oregon	2012	3898684
Pennsylvania	1999	11994016
Pennsylvania	2000	12285504
Pennsylvania	2001	12299533
Pennsylvania	2002	12326302
Pennsylvania	2003	12357524
Pennsylvania	2004	12388368
Pennsylvania	2005	12418161
Pennsylvania	2006	12471142
Pennsylvania	2007	12522531
Pennsylvania	2008	12566368
Pennsylvania	2009	12604767
Pennsylvania	2010	12711077
Pennsylvania	2011	12743995
Pennsylvania	2012	12770043
Rhode Island	1999	990819
Rhode Island	2000	1050736
Rhode Island	2001	1058051
Rhode Island	2002	1066034
Rhode Island	2003	1071504
Rhode Island	2004	1071414
Rhode Island	2005	1064989
Rhode Island	2006	1060196
Rhode Island	2007	1055009
Rhode Island	2008	1053502
Rhode Island	2009	1053209
Rhode Island	2010	1053078
Rhode Island	2011	1052020
Rhode Island	2012	1052637
South Carolina	1999	3885736
South Carolina	2000	4023570
South Carolina	2001	4062701
South Carolina	2002	4103934
South Carolina	2003	4146474
South Carolina	2004	4201306
South Carolina	2005	4256199
South Carolina	2006	4339399
South Carolina	2007	4424232
South Carolina	2008	4503280
South Carolina	2009	4561242
South Carolina	2010	4636290
South Carolina	2011	4673054
South Carolina	2012	4722621
South Dakota	1999	733133
South Dakota	2000	755694
South Dakota	2001	758983
South Dakota	2002	762107
South Dakota	2003	766975
South Dakota	2004	774283
South Dakota	2005	780084
South Dakota	2006	788519
South Dakota	2007	797035
South Dakota	2008	804532
South Dakota	2009	812383
South Dakota	2010	816192
South Dakota	2011	824171
South Dakota	2012	834504
Tennessee	1999	5483535
Tennessee	2000	5703243
Tennessee	2001	5755443
Tennessee	2002	5803306
Tennessee	2003	5856522
Tennessee	2004	5916762
Tennessee	2005	5995748
Tennessee	2006	6089453
Tennessee	2007	6172862
Tennessee	2008	6240456
Tennessee	2009	6296254
Tennessee	2010	6356628
Tennessee	2011	6398389
Tennessee	2012	6455177
Texas	1999	20044141
Texas	2000	20945963
Texas	2001	21332847
Texas	2002	21710788
Texas	2003	22057801
Texas	2004	22418319
Texas	2005	22801920
Texas	2006	23369024
Texas	2007	23837701
Texas	2008	24304290
Texas	2009	24782302
Texas	2010	25245717
Texas	2011	25657477
Texas	2012	26094422
Utah	1999	2129836
Utah	2000	2244314
Utah	2001	2291250
Utah	2002	2334473
Utah	2003	2379938
Utah	2004	2438915
Utah	2005	2499637
Utah	2006	2583724
Utah	2007	2663796
Utah	2008	2727343
Utah	2009	2784572
Utah	2010	2774346
Utah	2011	2815324
Utah	2012	2855194
Vermont	1999	593740
Vermont	2000	609903
Vermont	2001	612153
Vermont	2002	614950
Vermont	2003	616559
Vermont	2004	618145
Vermont	2005	618814
Vermont	2006	619985
Vermont	2007	620460
Vermont	2008	621049
Vermont	2009	621760
Vermont	2010	625792
Vermont	2011	626450
Vermont	2012	626138
Virginia	1999	6872912
Virginia	2000	7104533
Virginia	2001	7191304
Virginia	2002	7283541
Virginia	2003	7373694
Virginia	2004	7468914
Virginia	2005	7563887
Virginia	2006	7646996
Virginia	2007	7719749
Virginia	2008	7795424
Virginia	2009	7882590
Virginia	2010	8025376
Virginia	2011	8110188
Virginia	2012	8193422
Washington	1999	5756361
Washington	2000	5911122
Washington	2001	5987785
Washington	2002	6056187
Washington	2003	6113262
Washington	2004	6184289
Washington	2005	6261282
Washington	2006	6372243
Washington	2007	6464979
Washington	2008	6566073
Washington	2009	6664195
Washington	2010	6741911
Washington	2011	6822112
Washington	2012	6896325
West Virginia	1999	1806928
West Virginia	2000	1806962
West Virginia	2001	1798582
West Virginia	2002	1799411
West Virginia	2003	1802238
West Virginia	2004	1803302
West Virginia	2005	1803920
West Virginia	2006	1807237
West Virginia	2007	1811198
West Virginia	2008	1814873
West Virginia	2009	1819777
West Virginia	2010	1854176
West Virginia	2011	1854982
West Virginia	2012	1856313
Wisconsin	1999	5250446
Wisconsin	2000	5374254
Wisconsin	2001	5408769
Wisconsin	2002	5446766
Wisconsin	2003	5476796
Wisconsin	2004	5511385
Wisconsin	2005	5541443
Wisconsin	2006	5571680
Wisconsin	2007	5601571
Wisconsin	2008	5627610
Wisconsin	2009	5654774
Wisconsin	2010	5689268
Wisconsin	2011	5708785
Wisconsin	2012	5724888
Wyoming	1999	479602
Wyoming	2000	493958
Wyoming	2001	492982
Wyoming	2002	497069
Wyoming	2003	499189
Wyoming	2004	502988
Wyoming	2005	506242
Wyoming	2006	512841
Wyoming	2007	523414
Wyoming	2008	532981
Wyoming	2009	544270
Wyoming	2010	564358
Wyoming	2011	567631
Wyoming	2012	576893
